parent,pagename,weight,file
Paged/1982_THISTLE,Paged/1982_THISTLE/16,16,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_16.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/17,17,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_17.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/18,18,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_18.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/19,19,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_19.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/20,20,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_20.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/21,21,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_21.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/22,22,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_22.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/23,23,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_23.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/24,24,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_24.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/25,25,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_25.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/26,26,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_26.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/27,27,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_27.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/28,28,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_28.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/29,29,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_29.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/30,30,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_30.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/31,31,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_31.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/32,32,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_32.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/33,33,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_33.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/34,34,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_34.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/35,35,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_35.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/36,36,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_36.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/37,37,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_37.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/38,38,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_38.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/39,39,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_39.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/40,40,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_40.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/41,41,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_41.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/42,42,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_42.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/43,43,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_43.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/44,44,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_44.jpg
